Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
SS,1A,WP,Anadarko US Offshore LLC,1/1/1947,9/22/1988,29.091553,-91.290913,1947
VR,A,FIXED,The Superior Oil Company,1/1/1947,12/31/1982,29.29433486,-92.18871047,1947
GI,A,WP,Freeport-McMoRan Energy LLC,1/1/1948,12/31/1976,29.131439,-90.012637,1948
SS,A,FIXED,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1948,8/4/1993,28.953241,-90.966291,1948
VR,H,FIXED,"EPL Oil & Gas, LLC",1/1/1948,,29.443047,-92.536224,1948
VR,A-AUX,FIXED,"EPL Oil & Gas, LLC",1/1/1948,,29.443075,-92.534044,1948
EI,B,FIXED,"Devon Energy Production Company, L.P.",1/1/1949,12/13/2007,29.236865,-91.684347,1949
EI,B-GEN,FIXED,"Devon Energy Production Company, L.P.",1/1/1949,12/13/2007,29.236864,-91.68466,1949
EI,A,FIXED,Fieldwood Energy LLC,1/1/1949,,28.960943,-91.47376,1949
EI,A-QRT,FIXED,"Cox Operating, L.L.C.",1/1/1949,,29.310535,-91.536375,1949
EI,A,FIXED,"Cox Operating, L.L.C.",1/1/1949,,29.31081,-91.536375,1949
EI,A-PRD,FIXED,"Cox Operating, L.L.C.",1/1/1949,,29.310809,-91.536689,1949
EI,A-TNK,FIXED,"Cox Operating, L.L.C.",1/1/1949,,29.31081,-91.536062,1949
GI,C,WP,Exxon Mobil Corporation,1/1/1949,12/31/1976,29.127232,-89.959448,1949
SS,B,WP,"W & T Offshore, Inc.",1/1/1949,12/31/1986,29.093393,-91.283461,1949
EI,GM-VALVE,FIXED,"Gulf South Pipeline Company, LP",1/1/1950,,29.31357063,-91.53843301,1950
EI,A,CAIS,Chevron U.S.A. Inc.,1/1/1950,12/31/1976,29.311004,-91.518934,1950
EI,C,WP,Devon Louisiana Corporation,1/1/1950,10/27/1988,28.971894,-91.489479,1950
EI,C,CAIS,Odeco Oil & Gas Company,1/1/1950,12/31/1980,29.052729,-91.700448,1950
SS,D,WP,Kerr-McGee Corporation,1/1/1950,8/13/1993,29.09228318,-91.25773353,1950
SS,B,FIXED,"Sanare Energy Partners, LLC",1/1/1950,,28.938076,-90.962586,1950
VR,A-RSR,FIXED,"EPL Oil & Gas, LLC",1/1/1950,,29.443075,-92.534044,1950
EI,C,FIXED,Devon Louisiana Corporation,1/1/1951,9/6/2006,29.247322,-91.697804,1951
EI,B-HEL,FIXED,"Devon Energy Production Company, L.P.",1/1/1951,12/13/2007,29.236865,-91.684033,1951
EI,D,CAIS,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1951,12/31/1975,28.972137,-91.45518,1951
SS,B,FIXED,Talos Petroleum LLC,1/1/1951,6/6/1990,28.86128,-90.828699,1951
EI,A,WP,ExxonMobil Oil Corporation,1/1/1952,12/31/1975,29.25196024,-91.71915908,1952
