Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
MC,A-Lena CT,CT,Exxon Mobil Corporation,1/1/1983,9/7/2020,28.662679,-89.157757,1983
ST,PLTF.A,MOPU,"W & T Offshore, Inc.",11/10/1994,5/2/2003,28.5949661,-90.53582441,1994
GB,A(BALDPATE),CT,Hess Corporation,5/31/1998,,27.73335401,-91.99361647,1998
EW,A-Morpeth East,MTLP,Eni US Operating Co. Inc.,8/10/1998,,28.03480207,-90.02281189,1998
GC,A(ALLEGHENY SEA,MTLP,Eni US Operating Co. Inc.,8/19/1999,,27.69156972,-90.2755364,1999
VK,A-Petronius CT,CT,Chevron U.S.A. Inc.,4/28/2000,,29.22900348,-87.78096836,2000
GC,A-Typhoon TLP,MTLP,"Energy Resource Technology, Inc.",7/10/2001,6/29/2006,27.73156398,-91.11114852,2001
WC,B-AUX 1 BRG 2KR,MOPU,"Sanare Energy Partners, LLC",6/6/2003,7/18/2008,29.65248163,-93.5690095,2003
MC,A(MATTERHORN SE,MTLP,"W & T Energy VI, LLC",8/3/2003,,28.74226919,-88.82563306,2003
ST,B MOPU,MOPU,"Cox Operating, L.L.C.",11/5/2004,5/27/2007,28.93848346,-90.17383792,2004
GC,A (Neptune TLP),MTLP,BHP Billiton Petroleum (GOM) Inc.,10/16/2007,,27.3700796,-89.92402389,2007
GC,B(Helix),MOPU,Talos ERT LLC,6/11/2009,,27.729759,-91.10850258,2009
WR,A-BW Pioneer,FPSO,Murphy Exploration & Production Company - USA,6/30/2011,,26.69617876,-90.50837794,2011
WR,A - Turritella,FPSO,Shell Offshore Inc.,1/1/2016,,26.42774525,-90.83349094,2016
