Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
GC,A-Jolliet TLP,TLP,"MC Offshore Petroleum, LLC",1/1/1989,,27.767356,-91.51609,1989
GB,A-Auger TLP,TLP,Shell Offshore Inc.,2/5/1994,,27.54594688,-92.44329374,1994
MC,A-Mars TLP,TLP,Shell Offshore Inc.,7/18/1996,,28.169524,-89.222876,1996
VK,A-Ram Powell,TLP,Talos Petroleum LLC,5/21/1997,,29.06062965,-88.09172006,1997
MC,A-Ursa TLP,TLP,Shell Offshore Inc.,12/28/1998,,28.15402604,-89.10355357,1998
VK,A-Marlin TLP,TLP,Anadarko Petroleum Corporation,7/27/1999,,29.10755646,-87.94362203,1999
GC,A-Brutus TLP,TLP,"EnVen Energy Ventures, LLC",6/20/2001,,27.79523773,-90.64754125,2001
EW,A-Prince TLP,TLP,"EnVen Energy Ventures, LLC",7/18/2001,,27.99267674,-90.32581513,2001
GC,A(TLP MARCO POL,TLP,Anadarko Petroleum Corporation,1/24/2004,,27.36212111,-90.18138623,2004
GB,A-Magnolia TLP,TLP,"W & T Offshore, Inc.",8/5/2004,,27.20385147,-92.20260063,2004
GC,A (MTLP Shenzi),TLP,BHP Billiton Petroleum (GOM) Inc.,8/25/2008,,27.30062339,-90.13500113,2008
MC,B(Olympus),TLP,Shell Offshore Inc.,7/30/2013,,28.15988546,-89.23912709,2013
GC,A,TLP,Hess Corporation,5/29/2017,,27.50899334,-90.55632364,2017
WR,A-Big Foot,TLP,Chevron U.S.A. Inc.,2/19/2018,,26.93203794,-90.52082006,2018
