Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
SS,1A,WP,Anadarko US Offshore LLC,1/1/1947,9/22/1988,29.091553,-91.290913,1947
GI,A,WP,Freeport-McMoRan Energy LLC,1/1/1948,12/31/1976,29.131439,-90.012637,1948
GI,C,WP,Exxon Mobil Corporation,1/1/1949,12/31/1976,29.127232,-89.959448,1949
SS,B,WP,"W & T Offshore, Inc.",1/1/1949,12/31/1986,29.093393,-91.283461,1949
EI,C,WP,Devon Louisiana Corporation,1/1/1950,10/27/1988,28.971894,-91.489479,1950
SS,D,WP,Kerr-McGee Corporation,1/1/1950,8/13/1993,29.09228318,-91.25773353,1950
EI,A,WP,ExxonMobil Oil Corporation,1/1/1952,12/31/1975,29.25196024,-91.71915908,1952
VR,2,WP,Union Oil Company of California,1/1/1953,1/28/1994,29.429042,-92.542289,1953
EI,D,WP,Union Oil Company of California,1/1/1954,12/31/1980,29.31453165,-91.53585271,1954
EI,G,WP,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1954,12/31/1975,28.965143,-91.484891,1954
SS,E,WP,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1955,12/31/1976,28.980354,-90.940993,1955
VR,C,WP,Union Oil Company of California,1/1/1955,8/26/1999,29.410844,-92.559746,1955
EC,1,WP,Shell Offshore Inc.,1/1/1956,12/31/1984,29.302279,-92.985143,1956
EI,M,WP,Fieldwood Energy LLC,1/1/1956,10/26/1989,28.975571,-91.484747,1956
EI,B,WP,Odeco Oil & Gas Company,1/1/1956,12/31/1977,28.785339,-91.581413,1956
GI,P,WP,Chevron U.S.A. Inc.,1/1/1956,12/9/2013,29.087258,-90.116064,1956
SS,A,WP,Tenneco Oil Company,1/1/1956,12/31/1974,28.597993,-91.286391,1956
WC,E,WP,Conoco Inc.,1/1/1956,12/31/1979,29.293901,-93.037696,1956
EC,2,WP,Shell Offshore Inc.,1/1/1957,12/31/1986,29.304394,-92.996592,1957
EI,E,WP,Fieldwood Energy LLC,1/1/1957,8/4/2009,28.790292,-91.732474,1957
EI,N,WP,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1957,12/31/1983,28.966673,-91.458409,1957
SS,A,WP,Chevron U.S.A. Inc.,1/1/1957,12/31/1990,28.85478489,-91.14054033,1957
SS,F,WP,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1957,12/31/1982,28.953267,-90.975661,1957
SS,G,WP,"Comstock Offshore, LLC",1/1/1957,12/31/1980,28.860778,-90.860456,1957
WD,R,WP,Exxon Mobil Corporation,1/1/1957,12/31/1984,29.116587,-89.664147,1957
GA,A,WP,Mitchell Energy Corporation,1/1/1958,12/31/1980,29.154549,-94.676011,1958
SP,40,WP,"Whitney Oil & Gas, LLC",1/1/1958,10/31/2011,28.981258,-89.245906,1958
SP,41,WP,"Whitney Oil & Gas, LLC",1/1/1958,10/18/2014,28.978538,-89.266605,1958
SP,51,WP,"Whitney Oil & Gas, LLC",1/1/1958,11/5/2011,28.978275,-89.250097,1958
SP,187,WP,"Whitney Oil & Gas, LLC",1/1/1958,10/18/2014,28.98176113,-89.2593142,1958
SP,54,WP,"Whitney Oil & Gas, LLC",1/1/1958,10/17/2014,28.984733,-89.237564,1958
SP,46,WP,"Whitney Oil & Gas, LLC",1/1/1958,9/21/2012,28.984821,-89.241704,1958
SP,53,WP,"Whitney Oil & Gas, LLC",1/1/1958,9/22/2012,28.978143,-89.241843,1958
