Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
EI,A,CAIS,Chevron U.S.A. Inc.,1/1/1950,12/31/1976,29.311004,-91.518934,1950
EI,C,CAIS,Odeco Oil & Gas Company,1/1/1950,12/31/1980,29.052729,-91.700448,1950
EI,D,CAIS,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1951,12/31/1975,28.972137,-91.45518,1951
VR,1,CAIS,Union Oil Company of California,1/1/1953,1/29/1994,29.420804,-92.547777,1953
BM,KN-Flare Pile,CAIS,"Cantium, LLC",1/1/1954,6/15/1999,29.0461298,-90.16163782,1954
VR,3,CAIS,Union Oil Company of California,1/1/1954,9/22/2012,29.449568,-92.5117,1954
EI,1,CAIS,Odeco Oil & Gas Company,1/1/1955,12/31/1983,29.288344,-91.848766,1955
BM,31,CAIS,Chevron U.S.A. Inc.,1/1/1956,12/31/1984,29.062509,-90.130117,1956
EI,2A,CAIS,Hunt Oil Company,1/1/1956,9/6/2006,29.156359,-91.505498,1956
EI,4,CAIS,Odeco Oil & Gas Company,1/1/1956,10/27/1988,29.320062,-91.788381,1956
EI,1,CAIS,Newfield Exploration Company,1/1/1956,9/19/1993,28.750985,-91.377115,1956
EC,4,CAIS,Shell Offshore Inc.,1/1/1957,12/31/1984,29.284183,-92.980704,1957
EC,2,CAIS,Shell Offshore Inc.,1/1/1957,12/31/1984,29.298701,-92.980942,1957
EI,1,CAIS,Talos ERT LLC,1/1/1957,12/31/1986,28.942482,-91.609465,1957
EI,H,CAIS,"Cox Operating, L.L.C.",1/1/1957,,29.307211,-91.525714,1957
EI,1,CAIS,Union Oil Company of California,1/1/1957,12/31/1983,29.309828,-91.541626,1957
EI,2,CAIS,Odeco Oil & Gas Company,1/1/1957,12/31/1979,29.057368,-91.751557,1957
GI,1,CAIS,"Cantium, LLC",1/1/1957,7/16/2004,29.071825,-90.111722,1957
SS,J,CAIS,Anadarko US Offshore LLC,1/1/1957,12/31/1982,29.115879,-91.287702,1957
SS,F,CAIS,Anadarko US Offshore LLC,1/1/1957,12/31/1985,29.111978,-91.171163,1957
VR,2,CAIS,"Cox Operating, L.L.C.",1/1/1957,,29.431308,-92.523373,1957
VR,1,CAIS,Walter Oil & Gas Corporation,1/1/1957,12/31/1984,28.887556,-92.486355,1957
WC,B,CAIS,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1957,12/31/1984,29.670565,-93.029225,1957
WC,7,CAIS,ConocoPhillips Company,1/1/1957,12/31/1980,29.684017,-93.593517,1957
EI,14,CAIS,Union Oil Company of California,1/1/1958,12/15/1995,29.299374,-91.543016,1958
EI,4,CAIS,Union Oil Company of California,1/1/1958,12/31/1983,29.309924,-91.533249,1958
EI,2,CAIS,"SOCO Offshore, Inc.",1/1/1958,12/31/1985,28.70586169,-91.76776921,1958
MP,AC,CAIS,"Cantium, LLC",1/1/1958,,29.375845,-88.989039,1958
SM,1,CAIS,Chevron U.S.A. Inc.,1/1/1958,11/17/1999,29.443719,-92.080686,1958
SM,2-LHP(REMOVED ),CAIS,Chevron U.S.A. Inc.,1/1/1958,11/1/1997,29.507514,-92.05582,1958
SM,3,CAIS,Chevron U.S.A. Inc.,1/1/1958,12/31/1982,29.457853,-92.096635,1958
SM,3,CAIS,Chevron U.S.A. Inc.,1/1/1958,12/6/1991,29.494892,-92.044662,1958
SS,G,CAIS,Anadarko US Offshore LLC,1/1/1958,2/11/1995,29.118044,-91.1708,1958
ST,3,CAIS,J. M. Huber Corporation,1/1/1958,6/12/1992,29.016293,-90.275312,1958
ST,2,CAIS,J. M. Huber Corporation,1/1/1958,7/19/1993,29.014416,-90.267377,1958
VR,1,CAIS,Murphy Exploration & Production Company,1/1/1958,1/11/1996,29.218973,-92.42554,1958
VR,A,CAIS,Murphy Exploration & Production Company,1/1/1958,12/17/1995,29.226424,-92.425765,1958
VR,1,CAIS,Union Oil Company of California,1/1/1958,12/31/1979,29.314258,-92.398126,1958
WC,1,CAIS,ConocoPhillips Company,1/1/1958,12/31/1983,29.669865,-93.608813,1958
WC,9,CAIS,ConocoPhillips Company,1/1/1958,12/31/1980,29.686336,-93.58664,1958
WD,2,CAIS,CNOOC Petroleum U.S.A. Inc.,1/1/1958,12/31/1983,29.105885,-89.635114,1958
WD,1,CAIS,CNOOC Petroleum U.S.A. Inc.,1/1/1958,2/20/1989,29.105438,-89.633462,1958
EC,1,CAIS,Shell Offshore Inc.,1/1/1959,12/31/1984,29.29421,-93.008847,1959
EI,6,CAIS,"Energy Resource Technology, Inc.",1/1/1959,4/21/2002,28.94515,-91.608966,1959
EI,5,CAIS,"Cox Operating, L.L.C.",1/1/1959,,29.310919,-91.529705,1959
EI,2,CAIS,Apache Corporation,1/1/1959,10/13/1994,29.081239,-91.758402,1959
EI,3,CAIS,Shell Offshore Inc.,1/1/1959,9/19/1993,28.940305,-91.611335,1959
EI,3,CAIS,Offshore Energy I LLC,1/1/1959,12/31/1975,29.090084,-91.761601,1959
EI,2,CAIS,Sabine Oil & Gas Corporation,1/1/1959,11/5/1997,29.216064,-91.601039,1959
EI,1,CAIS,"Maritech Resources, Inc.",1/1/1959,1/2/2009,28.968973,-91.615885,1959
EI,1,CAIS,Hunt Oil Company,1/1/1959,9/2/2006,29.177744,-91.514756,1959
EI,1,CAIS,BP America Production Company,1/1/1959,12/31/1976,28.674553,-91.522732,1959
EI,1,CAIS,Devon Louisiana Corporation,1/1/1959,8/18/1991,28.96718,-91.462991,1959
EI,1,CAIS,Devon Louisiana Corporation,1/1/1959,8/18/1991,28.985713,-91.488972,1959
EI,1,CAIS,Shell Oil Company,1/1/1959,12/31/1978,28.72739102,-91.43014108,1959
SM,7,CAIS,Chevron U.S.A. Inc.,1/1/1959,5/13/2013,29.437113,-92.061709,1959
SM,5 (TSA),CAIS,Chevron U.S.A. Inc.,1/1/1959,7/10/2006,29.431723,-92.060712,1959
SM,4,CAIS,Chevron U.S.A. Inc.,1/1/1959,7/6/2006,29.455548,-92.055481,1959
SS,I,CAIS,Anadarko US Offshore LLC,1/1/1959,2/11/1995,29.115205,-91.174318,1959
SS,1,CAIS,"Comstock Offshore, LLC",1/1/1959,8/4/1993,28.81805499,-90.92807365,1959
SS,1,CAIS,BP America Production Company,1/1/1959,12/31/1985,28.597016,-91.271649,1959
SS,1,CAIS,Kerr-McGee Corporation,1/1/1959,12/31/1976,29.092827,-91.165684,1959
SS,1,CAIS,Shell Oil Company,1/1/1959,12/31/1976,28.763811,-90.778209,1959
ST,10,CAIS,J. M. Huber Corporation,1/1/1959,11/26/2003,29.011418,-90.269701,1959
ST,11,CAIS,J. M. Huber Corporation,1/1/1959,6/12/1992,29.01251,-90.275477,1959
ST,14,CAIS,J. M. Huber Corporation,1/1/1959,6/12/1992,29.014521,-90.278916,1959
VR,1,CAIS,Sabine Oil & Gas Corporation,1/1/1959,8/15/1995,29.478907,-92.350952,1959
WC,10,CAIS,Talos Petroleum LLC,1/1/1959,10/1/2000,29.685474,-93.60838,1959
WC,2,CAIS,"Sanare Energy Partners, LLC",1/1/1959,,29.691233,-93.599351,1959
WC,1,CAIS,"Devon Energy Production Company, L.P.",1/1/1959,12/30/2002,29.690577,-93.605951,1959
WC,A,CAIS,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1959,5/23/1988,29.670752,-93.021381,1959
WC,3,CAIS,Chevron U.S.A. Inc.,1/1/1959,12/31/1985,29.690544,-93.61386,1959
WD,1,CAIS,Chevron U.S.A. Inc.,1/1/1959,12/31/1985,29.175921,-89.534056,1959
WD,4,CAIS,"Maritech Resources, Inc.",1/1/1959,1/7/2002,29.146639,-89.687278,1959
EC,2,CAIS,"Black Elk Energy Offshore Operations, LLC",1/1/1960,7/30/2015,28.937789,-92.739117,1960
EI,7,CAIS,Fieldwood Energy SP LLC,1/1/1960,4/15/2005,29.063181,-91.444204,1960
EI,4,CAIS,Fieldwood Energy SP LLC,1/1/1960,4/15/2005,29.059551,-91.4442,1960
EI,2,CAIS,Fieldwood Energy LLC,1/1/1960,,28.962401,-91.470958,1960
EI,9,CAIS,"Arena Offshore, LP",1/1/1960,12/31/1976,29.050869,-91.44419,1960
EI,12,CAIS,"Arena Offshore, LP",1/1/1960,12/18/1989,29.063184,-91.440072,1960
EI,2,CAIS,"Arena Offshore, LP",1/1/1960,12/20/1989,29.055921,-91.444196,1960
EI,5,CAIS,"Arena Offshore, LP",1/1/1960,12/19/1989,29.055924,-91.440065,1960
EI,2,CAIS,McMoRan Oil & Gas LLC,1/1/1960,12/31/1981,28.644348,-91.494091,1960
EI,8,CAIS,"Arena Offshore, LP",1/1/1960,12/16/1989,29.066811,-91.444208,1960
EI,1,CAIS,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/1/1960,12/31/1978,28.965238,-91.478622,1960
EI,7,CAIS,Odeco Oil & Gas Company,1/1/1960,12/31/1980,29.099222,-91.759135,1960
EI,1,CAIS,Devon Louisiana Corporation,1/1/1960,10/1/1988,28.973042,-91.61621,1960
PL,4,CAIS,Murphy Exploration & Production Company - USA,1/1/1960,12/31/1975,28.897277,-90.695683,1960
SM,6,CAIS,Chevron U.S.A. Inc.,1/1/1960,11/1/1997,29.463868,-92.071108,1960
SM,8,CAIS,Chevron U.S.A. Inc.,1/1/1960,10/3/2012,29.450378,-92.057966,1960
